ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
527,Professor X,100,8,12,14,100,32,Male,Mutant,183 cm,86 kg,Blue,No Hair,Charles Francis Xavier,"Prof, Dr. X, Professor Xavier, formerly Prisoner M-13","New York, New York","X-Men #1 (September, 1963)",Marvel Comics,good
528,Professor Zoom,94,10,100,20,83,20,Male,Human,180 cm,81 kg,Blue,Strawberry Blond,Eobard Thawne,"Reverse Flash, Black Flash, Adrian Zoom, Mister Zyx",-,"Flash #139 (September, 1963)",DC Comics,bad
529,Psylocke,63,33,25,40,100,90,Female,Mutant,180 cm,70 kg,Blue,Purple,Elizabeth Braddock,"Betsy, Captain Britain, Lady Mandarin","Braddock Manor, England","Captain Britain #8 (December, 1976) / New Mutants Annual #2 (October, 1986) (US)",Marvel Comics,good
530,Punisher,69,16,21,45,42,100,Male,Human,183 cm,90 kg,Blue,Black,Frank Castle,"Big Nothing, Major Bateman, Ted Bishop, Cliff Callador, Castigo, Chaloner, Fred D'Amato, Eastman, Charles Fort, Frank Loomis, McRook, Melchior, Joe Rainey, Frank Rook, Richard Rook, Tony Knowlen Ross, Francis Stronghold, Johnny Tower, Dmitri Velikoff, Fra","Queens, New York",AMAZING SPIDER-MAN #129,Marvel Comics,good
531,Purple Man,56,10,8,30,92,10,Male,Human,180 cm,74 kg,Purple,Purple,Zebediah Killgrave,Kilgrave,-,"Daredevil #4 (October, 1964)",Marvel Comics,bad
532,Pyro,38,10,12,14,54,28,Male,null,178 cm,68 kg,Blue,Blond,St. John Allerdyce,-,"Sydney, Australia",-,Marvel Comics,bad
533,Q,100,12,17,100,100,40,Male,God / Eternal,0 cm,0 kg,-,-,Q,Q Continuum,-,-,Star Trek,-
534,Quantum,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,HarperCollins,good
535,Question,81,14,27,35,20,80,Male,Human,188 cm,83 kg,Blue,Blond,Charles Victor Szasz,Vic Sage,-,"Blue Beetle (Charlton) Vol 4 #1 (June, 1967)",DC Comics,good
536,Quicksilver,63,28,100,60,81,56,Male,Mutant,183 cm,79 kg,Blue,Silver,Pietro Django Maximoff,"Pietro Frank, Gypsy Davey, Mateo Maximoff","Wundagore Mountain, Transia (in Eastern Europe)",X-MEN Vol. 1 #4,Marvel Comics,good
537,Quill,38,10,12,14,23,14,Male,null,163 cm,56 kg,Brown,Brown,Maxwell Jordan,Max,-,New X-Men: Academy X #1,Marvel Comics,good
538,Ra's Al Ghul,100,28,32,42,27,100,Male,Human,193 cm,97 kg,Green,Grey,Ra's Al Ghul,Demon's Head,Egypt,"Batman #232 (June, 1971)",DC Comics,bad
539,Rachel Pirzad,63,4,8,10,52,10,Female,Alpha,0 cm,0 kg,-,-,,-,-,-,SyFy,good
540,Rambo,63,14,25,30,30,100,Male,Human,178 cm,83 kg,Brown,Black,John Rambo,"Raven, Lone Wolf","Bowie, Arizona","First Blood (Novel, 1972)",null,good
541,Raphael,63,17,50,65,59,80,Male,Mutant,0 cm,0 kg,-,No Hair,,-,-,Teenage Mutant Ninja Turtles #1,IDW Publishing,good
542,Raven,50,10,29,70,84,40,Female,Human,165 cm,50 kg,Indigo,Black,Rachel Roth,"Pride, Dark Raven",Azarath,"DC Comics Presents #26 (October, 1980)",DC Comics,neutral
543,Ray,50,10,92,100,100,20,Male,Human,178 cm,70 kg,Green,Red,Ray Terrill,-,-,Ray #1,DC Comics,good
544,Razor-Fist II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,191 cm,117 kg,Blue,No Hair,Douglas Scott,Razorfist,-,"Master of Kung Fu I#105 (October, 1981)",Marvel Comics,bad
545,Red Arrow,63,16,25,20,23,80,Male,Human,180 cm,83 kg,Green,Red,Roy Harper,"Arsenal, Speedy",-,(as Speedy) More Fun Comics # 73(Nov. 1941); (as Arsenal) The New Titans # 99 (July 1993); (as Red Arrow) Justice League of America Vol. 2 # 7 (May 2007),DC Comics,good
546,Red Hood,75,12,23,28,35,95,Male,Human,183 cm,81 kg,Blue,Black,Jason Todd,"Robin, Red Robin, Batman, Nightwing, Arkham Knight",-,Batman #635,Robin II,neutral
547,Red Hulk,50,100,47,85,82,75,Male,Human / Radiation,213 cm,630 kg,Yellow,Black,Thaddeus E. Ross,"Rulk, Hulk, Thunderbolt, General Ross",-,"Incredible Hulk #1 (May, 1962)(as General Ross), Hulk Vol 2 #1 (March, 2008) (as Red Hulk)",Marvel Comics,neutral
548,Red Mist,25,10,23,14,20,56,Male,null,0 cm,0 kg,-,-,Chris Genovese,The Red Mist,-,Kick-Ass #5,Icon Comics,bad
549,Red Robin,81,11,27,32,29,80,Male,Human,165 cm,56 kg,Blue,Black,Tim Drake,"Alvin Draper, Batman, Robin, Timothy Wayne, Time Drake",Gotham City,"Batman #436 (August, 1989)",Robin III,good
550,Red Skull,75,10,12,14,19,80,Male,null,188 cm,108 kg,Blue,No Hair,Johann Shmidt,"Dell Rusk, Bettman P. Lyles, the Agent of a Thousand Faces, The Man, Cyrus Fenton, Teacher, Tod March, John Smith, Aleksander Lukin.",An unidentified village in Germany,"Captain America Comics #1 (1941), (modern) Tales of Suspense #66 (1965)",Marvel Comics,bad
551,Red Tornado,75,38,67,60,100,40,Male,Android,185 cm,146 kg,Green,No Hair,John Smith,"Ulthoon, Tornado Tyrant of Rann, Tornado Champion, Tornado Man Dreaming, ""Reddy""",-,"As Red Tornado: Justice League of America #64, As Ulthoon: Mystery in Space #61",DC Comics,good
552,Redeemer II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Phil Timper,-,-,Spawn #31,Image Comics,bad
553,Redeemer III,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Eddie Frank,-,-,-,Image Comics,bad
554,Renata Soliz,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,HarperCollins,good
555,Rey,63,8,21,10,87,35,Female,Human,297 cm,0 kg,Hazel,Brown,,-,Jakku,Star Wars: Episode VII - The Force Awakens (2015),George Lucas,good
556,Rhino,25,80,43,90,36,85,Male,Human / Radiation,196 cm,320 kg,Brown,Brown,Aleksei Mikhailovich Sytsevich,"Alex O'Hirn, Mecha-Rhino",-,Amazing Spider-Man #41,Marvel Comics,bad
557,Rick Flag,88,11,23,28,19,95,Male,null,185 cm,85 kg,Blue,Brown,Richard Rogers Flag,-,-,Brave and the Bold #25 (September 1959),DC Comics,bad
558,Riddler,100,10,12,14,10,14,Male,null,0 cm,0 kg,-,-,Edward Nigma,"E. Nigma, Edward E. Nigma",-,Detective Comics #140 (1948),DC Comics,bad
559,Rip Hunter,100,8,8,10,100,25,Male,Human,0 cm,0 kg,Blue,Blond,Richard Hunter,"Time Lord, Time Master, Boppy, Dr. Hunter, Mr, Hunter, Carter",-,Showcase #20,DC Comics,good
560,Ripcord,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,180 cm,72 kg,Green,Black,Miranda Leevald,-,-,-,Marvel Comics,good
561,Robin,88,11,27,28,32,85,Male,Human,178 cm,79 kg,Blue,Black,Dick Grayson,"Renegade, The Target, Freddie Dinardo",-,"Detective Comics #38 (April, 1940)",Batman II,good
562,Robin II,75,11,27,28,28,85,Male,Human,183 cm,101 kg,Blue,Red,Jason Todd,"Red Hood, Red Robin, Batman, Nightwing, Wingman, Jaybird, Arkham Knight",-,Detective Comics #524,Red Hood,good
563,Robin III,81,11,27,28,29,85,Male,Human,165 cm,56 kg,Blue,Black,Tim Drake,"Alvin Draper, Batman, Robin, Timothy Wayne",-,"Batman #436 (August, 1989)",Red Robin,good
564,Robin V,69,8,33,16,29,65,Male,Human,137 cm,38 kg,Blue,Black,Damian Wayne,"Batman, Damian al Ghul, Ibn al Xu'ffasch, Redbird",-,Batman: Son of the Demon,DC Comics,good
565,Robin VI,50,8,25,20,17,70,Female,Human,0 cm,0 kg,Green,Red,Carrie Kelley,-,Gotham City,-,DC Comics,neutral
566,Rocket Raccoon,50,5,23,28,28,64,Male,Animal,122 cm,25 kg,Brown,Brown,Rocket Raccoon,"Sharpshooting Space Racoon, Rocky Raccoon, Ranger Rocket",-,"Marvel Preview #7 (June, 1976)",Marvel Comics,good
567,Rogue,75,10,12,28,80,80,Female,null,173 cm,54 kg,Green,Brown / White,Anna Marie,"Anna Raven, Doctor Kellogg, Mutate 9602, Irene Adler, Miss Smith","Caldecott County, Mississippi",Avengers Annual #10 (1981),Marvel Comics,good
568,Ronin,56,12,21,10,13,80,Male,Human,191 cm,104 kg,Blue,Blond,Clint Barton,"Formerly Hawkeye, the Marksman, 'Br'er Hawkeye', Superhuman Cellblock Prisoner 334556, Longbow, Goliath, Father Time, Louis, Robin Hood, the Hawkeye Kid, Golden Archer, 'Purple Man'; impersonated Constrictor & Dreadknight","Waverly, Iowa",-,Goliath,good
569,Rorschach,75,10,29,20,23,80,Male,Human,168 cm,63 kg,Blue,Red,Walter Joseph Kovacs,-,-,"Watchmen #1 (September, 1986)",DC Comics,good
570,Sabretooth,56,48,38,90,50,100,Male,Mutant,198 cm,171 kg,Amber,Blond,Victor Creed,"Slasher, El Tigre",-,"Iron Fist #14 (August, 1977)",Marvel Comics,bad
571,Sage,75,10,12,14,28,56,Female,null,170 cm,61 kg,Blue,Black,Tessa,-,Place of birth unknown,X-MEN Vol. 1 #132,Marvel Comics,good
572,Sandman,44,75,46,90,100,60,Male,Human,185 cm,203 kg,Brown,Brown,William Baker,"Flint Marko, Sylvester Mann, Quarryman","Queens, New York","Amazing Spider-Man #4 (September, 1963)",Marvel Comics,neutral
573,Sasquatch,75,80,23,56,15,42,Male,null,305 cm,900 kg,Red,Orange,Walter Langkowski,"Box, Wanda Langkowski","Edmonton, Alberta, Canada",-,Marvel Comics,good
574,Sauron,88,85,33,100,100,70,Male,Maiar,279 cm,0 kg,-,-,Sauron,"Annatar, Gorthaur the Cruel, Sauron the Dark, The Necromancer, Dark Lord of Mordor, Lord of the Rings, The Great Eye",-,-,J. R. R. Tolkien,bad
575,Savage Dragon,63,70,54,85,66,72,Male,null,0 cm,0 kg,-,-,Kurr,-,-,-,Image Comics,good
576,Scarecrow,81,10,12,14,48,50,Male,Human,183 cm,63 kg,Blue,Brown,Jonathan Crane,-,-,"WORLD'S FINEST COMICS #3 (Fall, 1941)",DC Comics,bad
577,Scarlet Spider,75,53,60,74,46,56,Male,Human,178 cm,74 kg,Blue,Blond,Benjamin Reilly,"Spider-Clone, Spider-Man",Place of birth unknown,Amazing Spider-Man # 149 (as Spider-Clone); Web of Spider-Man # 117 (as Ben Reilly),Spider-Carnage,good
578,Scarlet Spider II,88,55,60,40,37,56,Male,Clone,193 cm,113 kg,Brown,Brown,Kaine Parker,"Tarantula, Kaine, Ara�a Escarlata",-,"Web of Spider-Man #119 (December, 1994)",Marvel Comics,good
579,Scarlet Witch,100,10,29,70,100,80,Female,Mutant,170 cm,59 kg,Blue,Brown,Wanda Maximoff,"Wanda Frank, Wanda Magnus, Ana Maximoff, Gypsy Witch, The Witch","Wundagore Mountain, Transia","Uncanny X-Men #4 (March, 1964)",Marvel Comics,bad
580,Scorpia,38,28,42,28,34,28,Female,null,0 cm,0 kg,Green,Red,Elaine Coll,-,-,Spider-Man: Power of Terror limited series #2 (1995),Marvel Comics,bad
581,Scorpion,50,52,60,85,49,80,Male,Human,211 cm,310 kg,Brown,Brown,MacDonald Gargan,"Venom, Spider-Man",-,Amazing Spider-Man #19 (1964),Venom III,bad
582,Sebastian Shaw,63,85,12,95,36,56,Male,Mutant,0 cm,0 kg,-,-,Sebastian Hiram Shaw,-,-,-,Marvel Comics,bad
583,Sentry,75,100,100,84,100,40,Male,Mutant,188 cm,87 kg,Blue,Blond,Robert Reynolds,"Void, Bob, Golden Guardian of Good, John Victor Williams, Scout",-,"Sentry #1 (September, 2000)",Marvel Comics,neutral
584,Shadow King,75,12,27,100,100,75,-,null,185 cm,149 kg,Red,-,Amahl Farouk,"Professor X, Ananasi, Amahl Farouk, Evil One, Master of the Games; he also impersonated the following mind-controlled subjects (in chronological order): Alexander Flynn, Karma, Cypher, Jacob Reisz, Donald Pierce and probably others",-,X-Men #117 (1979),Marvel Comics,good
585,Shadow Lass,63,10,67,20,79,80,Female,Talokite,173 cm,54 kg,Black,Black,Tasmia Mallor,-,Talok VIII,Adventure Comics #365,DC Comics,good
586,Shadowcat,88,8,21,25,69,70,Female,Mutant,168 cm,50 kg,Hazel,Brown,Kitty Pryde,"Kitty Pryde, Ariel, Sprite, Cat","Deerfield, Illinois","X-Men #129 (January, 1980)",Marvel Comics,good
587,Shang-Chi,63,12,30,50,29,100,Male,Human,178 cm,79 kg,Brown,Black,Shang-Chi,The Master of Kung Fu; The Rising and Advancing of the Spirit; Chinaman (by Jack Tarr),-,"Special Marvel Edition #15 (December, 1973)",Marvel Comics,good
588,Shatterstar,63,48,45,64,49,84,Male,null,191 cm,88 kg,Brown,Red,Gaveedra Seven,Benjamin Russell,Mojoworld,New Mutants #99,Marvel Comics,good
589,She-Hulk,81,100,42,100,40,70,Female,Human,201 cm,315 kg,Green,Green,Jennifer Walters,Jade Giantess,"Los Angeles, California",She-Hulk (Vol. 1) #1,Marvel Comics,good
590,She-Thing,69,72,21,80,23,65,Female,Human / Radiation,183 cm,153 kg,Blue,No Hair,Sharon Ventura,"Thing, Ms Marvel",-,Thing #27,Ms Marvel II,good
591,Shocker,63,10,23,70,79,56,Male,Human,175 cm,79 kg,Brown,Brown,Herman Schultz,-,-,Amazing Spider-Man #46,Marvel Comics,bad
592,Shriek,50,10,23,28,45,42,Female,null,173 cm,52 kg,Yellow / Blue,Black,Frances Louise Barrison,Sandra Deel,-,-,Marvel Comics,good
593,Shrinking Violet,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,DC Comics,good
594,Sif,63,90,67,80,100,70,Female,Asgardian,188 cm,191 kg,Blue,Black,Sif,"Lady Sif, Erika Velez, Mrs. Chambers, Sybil",-,"Journey into Mystery #102 (March, 1964)",Marvel Comics,good
595,Silk,75,48,71,70,71,65,Female,Human,0 cm,0 kg,Brown,Black,Cindy Moon,-,-,Amazing Spider-Man Vol 3 #4,Marvel Comics,good
596,Silk Spectre,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Sally Juspeczyk,Sally Jupiter,-,-,DC Comics,good
597,Silk Spectre II,Sin dato,51,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Laurie Juspeczyk,-,-,-,DC Comics,good
598,Silver Surfer,56,100,100,90,100,32,Male,Alien,193 cm,101 kg,White,No Hair,Norrin Radd,-,Zenn-La,"Fantastic Four, Vol. 1 #48",Marvel Comics,good
599,Silverclaw,50,28,35,42,34,42,Female,null,157 cm,50 kg,Brown,Black,Maria de Guadalupe Santiago,"La Garra Argentado, Daughter of the Volcano God,","The village of Kamekeri, Costa Verde",Avengers #8 (1998),Marvel Comics,good
600,Simon Baz,56,90,42,55,100,60,Male,Human,0 cm,0 kg,Bown,Black,Simoon Baz,"Green Lantern, White Lantern","Dearborn, Michigan","The New 52: FCBD Special Edition #1 (June, 2012)",DC Comics,good
601,Sinestro,75,85,53,64,100,55,Male,Korugaran,201 cm,92 kg,Black,Black,Thaal Sinestro,"Green Lantern, White Lantern, Yellow Lantern, Parallax, Indigo Lantern","Korugar City, Korugar",Green Lantern Vol 2 #7,DC Comics,neutral
602,Siren,56,62,79,60,92,60,Female,Atlantean,175 cm,72 kg,Blue,Purple,Hila,-,-,"Aquaman #22 (August, 1965)",DC Comics,bad
603,Siren II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,Black,-,La Sirene la Bailene,-,Atlantis,The Titans #5 (1999),DC Comics,bad
604,Siryn,38,8,47,28,50,42,Female,null,168 cm,52 kg,Blue,Strawberry Blond,Theresa Rourke Cassidy,Theresa Rourke,"Cassidy Keep, County Mayo, Ireland",Spider-Woman (first series) #37,Marvel Comics,bad
605,Skaar,50,85,27,90,69,85,Male,null,198 cm,180 kg,Green,Black,,"Savior, Son of Hulk, WorldBreaker, Long Hair, Little Monster, Conan",Sakaar,"World War Hulk #5, 2007",Marvel Comics,good
606,Snake-Eyes,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Animal,0 cm,0 kg,-,-,,Xanthian Boulder Crusher,-,"Marvel Team-Up Annual Vol 1 #7 October, 1984",Marvel Comics,bad
607,Snowbird,50,32,27,42,70,52,Female,null,178 cm,49 kg,White,Blond,Narya,Anne McKenzie-Thompson,"Near Resolute Bay, Northwest Territories, Canada",Uncanny X-Men #120,Marvel Comics,good
608,Sobek,50,34,23,46,20,56,Male,null,0 cm,0 kg,White,No Hair,Yurrd the Unknown,Sobek the Talking Crocodile; The Unknown in Formless Time Before Time; Famine,Nile River; Bioengineered at Oolong Island,52 Week Twenty-Six,DC Comics,good
609,Solomon Grundy,9,93,13,100,92,30,Male,Zombie,279 cm,437 kg,Black,White,Cyrus Gold,Marshland Monster,Gotham City,"All-American Comics #61 (October, 1944)",DC Comics,bad
610,Songbird,75,36,27,42,55,56,Female,null,165 cm,65 kg,Green,Red / White,Melissa Joan Gold,"Screaming Mimi, Mimi Schwartz, Margie Green","Shoshoni, Wyoming",-,Marvel Comics,good
611,Space Ghost,38,18,33,40,95,80,Male,Human,188 cm,113 kg,-,-,Thaddeus Bach,"Ted Ghostel, Tad Ghostal",-,Space Ghost (1966),DC Comics,good
612,Spawn,75,60,50,90,100,95,Male,Demon,211 cm,405 kg,Brown,Black,Al Simmons,"The One, Hellspawn","Detroit, Michigan (8th level of Hell after rebirth)","Spawn #1 (May, 1992)",Image Comics,good
613,Spectre,88,100,100,100,100,70,Male,God / Eternal,0 cm,0 kg,White,No Hair,Aztar,"Spirit of Vengeance, Wrath of God, Spirit of Redemption, Raguel, James Corrigan, Hal Jordan, Cripus Allen",-,"More Fun Comics #52 (February, 1940)",Aztar,good
614,Speedball,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Robert Baldwin,"Penance, Masked Marvel","Springdale, Connecticut","Amazing Spider-Man Annual #22, (chronologically) Speedball #1",Penance II,good
615,Speedy,50,6,33,20,26,70,Female,Human,0 cm,0 kg,Green,Brown,Thea Queen,"Thea Merlyn, Mia, Red Arrow",Starling City,"Arrow (TV Series) - ""Pilot""",DC Comics,good
616,Speedy,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,"Roy William Harper, Jr.",-,-,-,Arsenal,good
617,Spider-Carnage,Sin dato,69,Sin dato,Sin dato,Sin dato,Sin dato,Male,Symbiote,0 cm,0 kg,-,-,Benjamin Reilly,-,-,-,Scarlet Spider,bad
618,Spider-Girl,63,38,60,65,53,75,Female,Human,170 cm,54 kg,Blue,Brown,May 'Mayday' Parker,-,"New York City, New York","What If? Vol 2 #105 (February, 1998)",Marvel Comics,good
619,Spider-Gwen,75,55,63,70,66,70,Female,Human,165 cm,56 kg,Blue,Blond,Gwen Stacy,Spider-Woman,-,Edge of Spider-Verse #2,Marvel Comics,good
620,Spider-Man,90,55,67,75,74,85,Male,Human,178 cm,74 kg,Hazel,Brown,Peter Parker,"Spiderman, Bag-Man, Black Marvel, Captain Universe, Dusk, Green Hood, Hornet, Mad Dog 336, Peter Palmer, Prodigy, Ricochet, Scarlet Spider, Spider-Boy, Spider-Hulk, Spider-Morphosis","New York, New York",Amazing Fantasy #15,Marvel Comics,good
621,Spider-Man,Sin dato,57,Sin dato,Sin dato,Sin dato,Sin dato,-,Human,178 cm,77 kg,Red,Brown,Miguel O'Hara,"Spider-Man 2099, Spiderman",-,"Amazing Spider-Man #365 (August, 1992)",Marvel Comics,good
622,Spider-Man,Sin dato,58,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,157 cm,56 kg,Brown,Black,Miles Morales,Spiderman,-,"Ultimate Comics Fallout #4 (October, 2011)",Marvel Comics,good
623,Spider-Woman,56,42,42,60,68,70,Female,Human,178 cm,59 kg,Green,Black,Jessica Drew,"Arachne, Ariadne Hyde, Dark Angel, Dark Angel of San Francisco","London, England","Marvel Spotlight #32 (February, 1977)",Marvel Comics,good
624,Spider-Woman II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
625,Spider-Woman III,50,48,27,42,60,28,Female,null,173 cm,55 kg,Brown,Brown,Martha Franklin,-,"Rochester, New York",(cameo) Spectacular Spider-Man #263 (1998); (full) Amazing Spider-Man #441 (1998),Marvel Comics,good
626,Spider-Woman IV,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,178 cm,58 kg,Red,White,Charlotte Witter,Spider-Woman,-,Amazing Spider-Man Volume 2 #5 (# 446),Marvel Comics,bad
627,Spock,81,18,17,40,56,40,Male,Human-Vulcan,185 cm,81 kg,Brown,Black,S'chn T'gai Spock,-,-,Star Trek S01E01: The Man Trap,Star Trek,good
628,Spyke,50,12,17,60,48,30,Male,Mutant,183 cm,83 kg,Brown,Blond,Evan Daniels,"Porcupine, Armadillo",-,"""Speed & Spyke"" (December 9, 2000)",Marvel Comics,good
629,Stacy X,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
630,Star-Lord,69,20,33,50,25,70,Male,Human-Spartoi,188 cm,79 kg,Blue,Blond,Peter Jason Quill,Starlord,-,"Marvel Preview #4 (January, 1976)",Marvel Comics,good
631,Stardust,88,85,100,110,100,85,Male,null,0 cm,0 kg,-,-,,Entity Lambda-Zero,-,-,Marvel Comics,good
632,Starfire,50,80,33,85,59,70,Female,Tamaranean,193 cm,71 kg,Green,Auburn,Koriand'r,"Princess Koriand'r, Kory Anders, Nova",Tamaran,"DC Comics Presents #26 (October, 1980)",DC Comics,good
633,Stargirl,63,80,25,90,87,55,Female,Human,165 cm,62 kg,Blue,Blond,Courtney Whitmore,"Star-Spangled Kid, Star, Stars",-,"Stars and S.T.R.I.P.E. #0 (July, 1999)",DC Comics,good
634,Static,69,8,42,50,90,40,Male,Mutant,170 cm,63 kg,Brown,Black,Virgil Hawkins,"Sparky, Virg, V, V-Man","Paris Island, Dakota City","Static #1 (June, 1993)",DC Comics,good
635,Steel,81,82,53,90,64,64,Male,null,201 cm,131 kg,Brown,No Hair,John Henry Irons,"Man of Steel, Henry Johnson","Washington, D.C.",Adventures of Superman #500 (1993),DC Comics,good
636,Stephanie Powell,69,10,54,10,24,10,Female,null,0 cm,0 kg,-,Blond,Stephanie Powell,-,-,No Ordinary Family S01E01 (2010),ABC Studios,good
637,Steppenwolf,94,100,83,100,100,100,Male,New God,183 cm,91 kg,Red,Black,,Steppenwulf,-,The New Gods #7,DC Comics,bad
638,Storm,75,10,47,30,88,75,Female,Mutant,180 cm,57 kg,Blue,White,Ororo Munroe,"Ororo Iqadi T'Challa, Queen Ororo, Ororo Komo Wakandas,White Queen, Weather Witch, Windrider, Goddess, Mistress of the Elements, Princess of N'Dare, High Priestess Windrider, Goddess, Mistress of the Elements, Princess of N'Dare, High Priestess","New York, New York","Giant-Size X-Men #1 (May, 1975)",Marvel Comics,good
639,Stormtrooper,10,8,8,15,5,20,Male,Human,183 cm,0 kg,-,-,,-,-,Star Wars: Episode IV - A New Hope (1977),George Lucas,bad
640,Sunspot,63,63,35,25,90,70,Male,Mutant,173 cm,77 kg,brown,black,Roberto DaCosta,"Robert DaCosta, Bobby; Black Rook, Black King, Reignfire","Rio de Janeiro, Brazil","Marvel Graphic Novel #4 (October, 1982)",Marvel Comics,good
641,Superboy,75,95,83,90,95,60,Male,null,170 cm,68 kg,Blue,Black,Kon-El / Conner Kent,"Experiment 13; Superman; Project: Superman; Carl Krummett; Project: Lionel Luthor; The Metropolis Kid, Superman",Project Cadmus cloning facility,"Adventures of Superman #500 (June, 1993)",DC Comics,good
642,Superboy-Prime,94,100,100,100,100,85,Male,Kryptonian,180 cm,77 kg,Blue,Black / Blue,Kal-El,Superman-Prime; Prime; Superboy; Clark Kent; Clarkie; Time Trapper,Krypton (Earth-Prime),"DC Comics Presents #87 (November, 1985)",DC Comics,bad
643,Supergirl,94,100,100,100,100,75,Female,Kryptonian,165 cm,54 kg,Blue,Blond,Kara Zor-El,"Linda Lang, Kara-El, Kara Kent, Flamebird, Trinity Child, Teen of Tomorrow, The Girl of Steel, The Maid of Might, The Princess of Power, Mighty Maid, Claire Connors, Bluebird","Argo City, Krypton","Superman/Batman #8 (May, 2004)",DC Comics,good
644,Superman,94,100,100,100,100,85,Male,Kryptonian,191 cm,101 kg,Blue,Black,Clark Kent,"Clark Joseph Kent, The Man of Steel, the Man of Tomorrow, the Last Son of Krypton, Big Blue, the Metropolis Marvel, the Action Ace",Krypton,ACTION COMICS #1,Superman Prime One-Million,good
645,Swamp Thing,88,95,25,100,100,55,Male,God / Eternal,0 cm,0 kg,Red,No Hair,Alec Holland,"Green Man, Swampy, the Weed, Le Bon Gumbo, Smalsh-Yegger (on Rann)",-,"Swamp Thing #1 (November, 1972)",DC Comics,bad
646,Swarm,75,18,50,90,38,35,Male,Mutant,196 cm,47 kg,Yellow,No Hair,Fritz von Meyer,-,-,"Champions #14 (July, 1977)",Marvel Comics,bad
647,Sylar,75,10,12,28,91,56,Male,null,0 cm,0 kg,-,-,Gabriel Gray,"Gabriel Sylar, Drew O'Grady, Dr. Suresh, Zane Taylor, Isaac Mendez",-,-,NBC - Heroes,bad
648,Synch,75,67,23,28,74,56,Male,null,180 cm,74 kg,Brown,Black,Everett Thomas,-,-,X-Men #36 (1994),Marvel Comics,good
649,T-1000,75,34,33,100,100,75,Male,Android,183 cm,146 kg,-,-,Cyberdyne Systems Series 1000 Terminator,"T-1001, T-1002",-,Terminator 2: Judgment Day,Dark Horse Comics,bad
650,T-800,75,34,17,60,73,65,Male,Cyborg,0 cm,176 kg,Red,-,Cyberdyne Systems Series 800 Terminator Model 101,Terminator,-,The Terminator (1984),Dark Horse Comics,bad
651,T-850,75,80,25,90,83,75,Male,Cyborg,0 cm,198 kg,Red,-,Cyberdyne Systems Series 850 Terminator,Terminator,-,Terminator 3: Rise of the Machines (2003),Dark Horse Comics,bad
652,T-X,75,63,29,85,100,80,Female,Cyborg,0 cm,149 kg,-,-,Cyberdyne Systems Series X Terminator,-,-,-,Dark Horse Comics,bad
653,Taskmaster,75,12,50,20,63,100,Male,Human,188 cm,99 kg,Brown,Brown,Tony Masters,-,-,Avengers #195,Marvel Comics,bad
654,Tempest,38,10,45,28,66,60,Female,null,163 cm,54 kg,Brown,Black,Angel Salvadore Bohusk,-,-,"New X-Men #118 (November, 2001)",Angel Salvadore,good
655,Thanos,100,100,33,100,100,80,Male,Eternal,201 cm,443 kg,Red,No Hair,Thanos,"The Mad Titan, Masterlord, The Overmaster, Chins",Titan,Iron Man #55,Marvel Comics,bad
656,The Cape,38,10,23,32,22,64,Male,null,0 cm,0 kg,-,-,Vince Faraday,Cape,-,The Cape S01E01 (2011),null,good
657,The Comedian,63,14,17,10,12,80,Male,Human,188 cm,101 kg,Brown,Black,Edward Morgen Blake,Eddie Blake,-,"Watchmen #1 (September, 1986)",DC Comics,neutral
